8157   BECKER LN
8117  JACKSON AVE
7092   mountain view LN
1167   ASHVILLE RD
8449  DUNNAVANT RD
7521  PARKWAY DR
7617  CEDAR AVE
829   WOOD TRACE CIR
7128  ROWAN  RD
112   cedar rock RD
6595   JULIA CIR
8117  JACKSON AVE
7092   mountain view LN
1167   ASHVILLE RD
8449  DUNNAVANT RD
7521  PARKWAY DR
7617  CEDAR AVE
829   WOOD TRACE CIR
7128  ROWAN  RD
112   cedar rock RD
6595   JULIA CIR
1167   ASHVILLE RD
6583   LYNN CIR
6401  SOUTHERN TRACE DR
545   WHITTAKER PL
9037  CLAYTON DR
8937  CLAYTON  DR
9015   CLAYTON DR
8933  CLAYTON DR
600   peach ST
1605  GRAY ST
7725   MICHAEL CIR
2220  MOSS AVE
6251  KEITH RD
1609  POOLE ST
292   MARTIN DR
292   MARTIN DR
7695   GEORGIA AVE
6630   JULIA CIR
8301   BRYANT  AVE
9232  JARDIN
1090   KINGS FOREST DR
1098   KINGS FOREST DR
1250  MAITLAND RD
1250  MAITLAND RD
1689  10TH  ST
7575  PARKWAY DR
1238  KATHERINE ST
1296  BARK AVE
1043   DIANE  ST
7686  HENRY ELLEN RD
1908   ARKANSAS
1047  brian DR
1283   KATHERINE ST
1501   PHILADELPHIA ST
1501  PHILADELPHIA  ST
1501   PHILADELPHIA ST
1501  PHILADELPHIA ST
1621   MONTAGUE ST
First 4 properties on Henry Ellen
7426  FRISCO AVE  114
1511   PHILADELPHIA  ST
7153   ROWAN RD
1086   CREST  RD
1075  KINGS FOREST DR
326  POOL  DR
1030   CREST RD
1059  KINGS FOREST DR
8401   lanewood CIR
1305   VIVIAN ST
7310   PARKWAY  DR
1540  ELOISE ST
6583  LYNN AVE
1132   ASHVILLE RD
1605  RAY ST
1621  RAY  ST
1617  RAY ST
2200  LISA ANN DR
7616   CEDAR AVE
7617  CEDAR AVE
2045  MONTEVALLO  RD
6603  JULIA  CIR
1908  LANE DR
7654  GEORGIA AVE
7653  GEORGIA  AVE
546   WHITTAKER PL
1062  MONTEVALLO RD
8214   PARKWAY DR
8412  THORNTON AVE
1105   ROBERT E LEE
1205   ROBERT E LEE ST
1605  RAY ST
1939 HERITAGE RD
8430  1ST AVE
535   JULIANNE DR
1615  MOORES ST
2258  CLAIRMONT DR
1253  NORMAN DR
7092  MOUNTAIN VIEW
1341  ASHVILLE RD
1337  ASHVILLE  RD
8520  ROCK HAMPTON ST
2027   PALMER  AVE
2037  PHILLIPS  CIR
2031  PALMER  CIR
8175   PHILLIPS DR
1768  WHITMIRE ST
6923  ROWAN  RD
7728   MICHAEL CIR
1617  RAY ST
2027   PALMER AVE
1837  LANE  DR
7608   CEDAR AVE
7401   NINA ST
7401  NINA ST
8788   SPRUIELL ST
1617   RAY ST
1617   RAY ST
7113   tramway CT
1333  PAMELA ST
2009   PALMER AVE
2011  KELLY  LN
1283   KATHERINE ST
1834   LANE DR
1837  LANE DR
7401  NINA ST
6287   ZEIGLER RD
1605   SIMS ST
1821   OLIVER ST
1821   OLIVER ST
2009   PALMER AVE
2011  KELLY  LN
1283   KATHERINE ST
1834   LANE DR
1837  LANE DR
7401  NINA ST
6287   ZEIGLER RD
1605   SIMS ST
1821   OLIVER ST
1821   OLIVER ST
1605   SIMS ST
1143   ASHVILLE RD
1143   ASHVILLE RD
1143   ASHVILLE RD
1900  KENT CIRCLE
1165  ROBERT E LEE ST
8413  THOMAS AVE
1828  LANE DR
8408  THOMAS AVE
600   PEACH ST
1628  OLIVER  RD
7434   FRISCO AVE
315   ELM ST
1628  OLIVER RD
8412  THORNTON AVE
8404  THORNTON AVE
1735   10TH
1735  10TH CT
8413   THOMAS AVE
"Super tall grass, dirty yard, attracting rodents to neighbors house ."
1762  LINDEN ST
1812  LANE DR
8645  BLAIR ST
600   PEACH ST
6261  STEWART RD
7260  CAMBRIC LN
212   WALNUT ST
1295  KATHERINE  ST
8436  LAWLEY AVE
128   CEDAR ROCK RD
2504  RODGERS WAY
1801   CLARKE CIR
1763  LINDEN ST
1042  BRIAN DR
8763   SPRUIELL ST
2100   FRISCO CT
2100   FRISCO CT
7728   MICHAEL CIR
2074  CEDAR GROVE RD
535   JULIANNE DR
600   PEACH ST
315   ELM ST
7216   ROWAN RD
506  OWEN RD
2100   FRISCO CT
573  OAK ST
573  OAK ST
1716  MONTAGUE ST
1337   ASHVILLE ROAD
1341  ASHVILLE RD
1331  ASHVILLE  RD
1305  ROSA PARKS  CIR
1824  lane DR
646  FOREST DR
646  FOREST DR
646  FOREST DR
6287   ZEIGLER RD
6275   ZEIGLER RD
7165   ROWAN RD
8370  dunnavant
7616  cedar
7608   CEDAR AVE
1952   CALMAR ST
7100   ROWAN  RD
6634   JULIA CIR
2121  CEDAR GROVE RD
1621  montague ST
1531  PARNELL
8449  THOMAS
6373  SOUTHERN TRACE DR
1617   WINDSOR LN
1059  KINGS FOREST DR
1735  10TH CT
1817  ASHVILLE RD-CAPT D'S   1400  9TH ST  112
6565  LYNN  AVE
7916  texas AVE
1813   WHITMIRE
1854   LANE  DR
1244  vivian ST
8400  1ST AVE
7920   TEXAS
8991  BUSH AVE
8979   BUSH AVE
7620   CEDAR AVE
1763  LINDEN ST
8901  AZALEA
8237  BAKER AVE
1220  FRANCES
ROCK HAMPTON
1624  WINDSOR LN
1189  ASHVILLE RD
1201  ASHVILLE RD
7363  MISSISSIPPI
1308  ROSA PARKS CIR
8100  DOUGLAS
7705  MICHAEL CIR
7671  CAHABA
7432  MISSISSIPPI
7830  LAKE AVE
7830   LAKE AVE
7829  LAKE AVE
7950   CHARLES BARKLEY
1263   ROSA PARKS LN
1255  ROSA PARKS LN
8020  CHARLES BARKLEY AVE
1824  LANE DR
1165   robert e lee ST
7671   CAHABA AVE
542  STONEYBROOK
1908   lane DR
8200  edwards  AVE  suite 100
7000  GREENWOOD  LN
8418  LANEWOOD CIR
1036  MELISSA CIR
1291  KATHERINE ST
4009  ASHLEY DR
4012  ASHLEY  DR
4016  ASHLEY DR
4016  ASHLEY  DR
4017  ASHLEY DR
4024  ASHLEY DR
4025  ASHLEY DR
4029  ASHLEY DR
4032  ASHLEY DR
4036  ASHLEY DR  2106 DEVEREUX CIR
4037  ASHLEY DR
4039  ASHLEY DR
4040  ASHLEY DR
4040  ASHLEY DR
326   POOL DR
2015  PALMER AVE
1250  MAITLAND RD
2133  MONTEVALLO RD
1186  CAROLYN ST
8421  THOMAS  AVE
8439  1ST AVE
1817   COVINGTON  CIR
8205   BECKER LN
8192  BECKER LN
6566  LYNN CIR
8125  PARKWAY DR
7936  TEXAS
769  VALLEY CIR
512   STONEYBROOK
8374  FARLEY AVE
1813  WHITMIRE ST
8953  CLAYTON DR
8190   FRANKLIN AVE
8439  LEWIS AVE
8690  DOVER DR
1951  LANE DR
1055  BRIAN DR
8113  LYLE AVE
6124 E HIGHWAY 78
7501  PARKWAY DR
7531  CAHABA AVE
1979  LANE DR
1605  RAY  ST
1708  LINDEN ST
2086  CEDAR GROVE
8439  1ST AVE
1812  LANE DR
1350  BEECH ST
9222  CLAIRMONT DR
8418   LANEWOOD CIR
8683  CLARKE LN
8008-8012  THORNTON AVE
8436  LAWLEY AVE
8444  LAWLEY
219  WALNUT ST
6651   WOODMERE XING
1065   MONTEVALLO RD
1181  MAPLEWOOD DR
6654   WOODMERE XING
6620   WOODMERE XING
1731  WHITMIRE ST
7488  PARKWAY DR
701  JOHNNY'S CV
701  JOHNNY'S CV
6035   BLUEBIRD LN
5250  PINSON VALLEY PKWY
919 JONES ST NE
251  FOSTER RD
7630  CAHABA AVE
7531  CAHABA AVE
1069  MONTEVALLO RD
1725  ASHVILLE RD
1140  MAPLEWOOD DR
1218  ELIZABETH ST
8299   RAILROAD AVE
1810  ROSS ST
2015  PALMER  AVE
9015  CLAYTON DR
1400   9TH ST
6035   BLUEBIRD LN
7216   ROWAN RD
1015  MONTEVALLO RD
152  CHIMNEY ROCK RD
1834  LANE DR
1183  ASHVILLE RD
1183  ASHVILLE RD
7030  MOUNTAINVIEW LN
1837  LANE
1069  MONTEVALLO RD
1355  BEECH ST
7401  NINA ST
449  BRIDLE
7461  ROOSEVELT
8401   LANEWOOD CIRCLE
207   WALNUT ST
1149  BEECH
506  OWEN RD
256   WALNUT ST
8215  BECKER LN
8211  BECKER LN
8529  COVINGTON WAY
1242  ASHVILLE RD
7157   MOUNTAIN VIEW LN
8015   CHARLES BARKLEY AVE
7512  CAHABA AVE
1100  ROBERT E LEE ST
1103  MONTEVALLO RD
7513  HENRY ELLEN
7357  MIAMI AVE
1350  BEECH ST
8807  DOODLE BUG LN
1332  BEECH ST
1326  BEECH ST
1153  BEECH ST
1295  BEECH ST
1245  OAK RIDGE DR
7101   WILSON DR
305   ELM ST
9030  PEAR ST
9022  PEAR ST
8960  PEAR ST
1351  BEECH ST
1335   BEECH ST
1406  PROMOTION
8405  LANEWOOD CIR
6609  MARIE CIR
7105  WILSON
7105  WILSON
8008  PRICE
7608  CEDAR AVE
7651  cahaba AVE
7639  cahaba
1824  LANE DR
8331  DUNNAVANT RD
1615  ASHVILLE RD
8529   COVINGTON WAY
8010  FOURTH AVE
1519  COGBILL ST
2074   CEDAR GROVE RD
2181   CLAIRMONT DR
994  MONTEVALLO RD
1430  DORROUGH
311  ELM ST
1305  PAMELA
1525  COGBILL ST
1521  COGBILL
1519  COGBILL
1527  COGBILL ST
1523  COGBILL
1525  COGBILL ST
1521  COGBILL ST
1523  COGBILL ST
1527  COGBILL
1321   PAMELA ST
1321   PAMELA ST
1337  ASHVILLE
1183  ashville
1519   COGBILL
1517  COGBILL
1517   COGBILL
1021   KINGS FOREST DR
1834  LANE
1837  LANE DR
8331  DUNNAVANT
8609  CLARKE LN
128  cedar rock
1979  lane
8010   4TH AVE  112
1114   GARY ALAN TRACE
1227  ROBERT E LEE
736  VALLEY CIR
7220  MAINE AVE
2124  CEDAR GROVE RD
7004  MOUNTAIN VIEW LN
1048  MONTEVALLO RD
7417  FRISCO AVE
1296   BARK AVE
1704  WHITMIRE ST
8349  kent AVE
1041  MONTEVALLO RD
9013  weaver
6988  BRIARWOOD LN
253  WALNUT ST
1925  linden ST
8349  KENT
7671  CAHABA AVE
7639  CAHABA AVE
1901  COURSON BLVD
6552  PRISCILLA
1239  ASHVILLE
1026  KINGS FOREST DR
1239   ASHVILLE RD
8413  dunnavant
520  OAK ST
7200  ROWAN RD
601  PEACH ST
7651  CAHABA
7651  CAHABA AVE
1488  DAKOTA
1485  DAKOTA
1501  PHILADELPHIA
1511  PHILADELPHIA
6988   BRIARWOOD LN
8311   HALL
8309  HALL
8900   WEAVER AVE
1016  BRIAN
1250  MAITLAND RD
7104  ROWAN RD
1183  ASHVILLE RD
7323  ANN AVE
240   WALNUT ST
191   WALNUT ST
1271  ASHVILLE RD
1612  PITTMAN
1616  PITTMAN
1239  ASHVILLE RD
8211  BECKER
8109  JACKSON AVE
8109  JACKSON AVE
2060  MONTEVALLO
1707  DORROUGH AVE
1704  BETTYE
9204  JARDIN CIR
126  WILLOW ST
8449  DUNNAVANT RD
8178  LYLE AVE
8408  THOMAS AVE
600   PEACH ST
1628  OLIVER  RD
7434   FRISCO AVE
315   ELM ST
1628  OLIVER RD
8412  THORNTON AVE
8404  THORNTON AVE
1735   10TH
1735  10TH CT
8413   THOMAS AVE
1093  HIGROVE  PKWY
8409   LEWIS AVE
1149  BEECH ST
7590  CAHABA AVE
953  DIANE ST
1621  HUNTSVILLE ST
7526  CAHABA AVE
7717  PINE AVE
1704  JONES ST
